Fold Index,Class,"(Attribute value, Attribute)",Probability
0,2,"(0, '3')",0.02197536826853417
0,2,"(1, '1')",0.08162279642598406
0,2,"(2, '1')",0.07582709490461241
0,2,"(3, '1')",0.08065684617242212
0,2,"(4, '2')",0.07848345810190775
0,2,"(5, '3')",0.0031393383240763103
0,2,"(6, '3')",0.028978507606858248
0,2,"(7, '1')",0.0874184979473557
0,2,"(8, '1')",0.09611205022941319
0,2,"(9, '2')",0.09852692586331804
0,2,"(0, '1')",0.03091040811398213
0,2,"(2, '3')",0.007486114465105047
0,2,"(5, '1')",0.08403767205988892
0,2,"(6, '1')",0.032842308621106014
0,2,"(0, '4')",0.014006278676648153
0,2,"(4, '1')",0.009659502535619416
0,2,"(0, '5')",0.017870079690895917
0,2,"(1, '3')",0.006520164211543105
0,2,"(2, '4')",0.0026563631972953395
0,2,"(3, '3')",0.007244626901714562
0,2,"(4, '4')",0.0014489253803429123
0,2,"(5, '5')",0.0021733880705143687
0,2,"(6, '4')",0.0021733880705143687
0,2,"(7, '7')",0.0007244626901714562
0,2,"(8, '2')",0.001931900507123883
0,2,"(0, '6')",0.004105288577638252
0,2,"(1, '2')",0.007969089591886018
0,2,"(6, '2')",0.033325283747886986
0,2,"(2, '2')",0.011108427915962327
0,2,"(1, '7')",0.0004829751267809708
0,2,"(2, '7')",0.0007244626901714562
0,2,"(4, '5')",0.0014489253803429123
0,2,"(5, '8')",0.0009659502535619416
0,2,"(7, '4')",0.0004829751267809708
0,2,"(7, '2')",0.0062786766481526205
0,2,"(5, '2')",0.005071238831200193
0,2,"(7, '3')",0.002414875633904854
0,2,"(0, '2')",0.009900990099009901
0,2,"(3, '4')",0.0009659502535619416
0,2,"(1, '4')",0.001931900507123883
0,2,"(5, '9')",0.0009659502535619416
0,2,"(3, '2')",0.008693552282057475
0,2,"(1, '8')",0.0004829751267809708
0,2,"(2, '8')",0.0004829751267809708
0,2,"(4, '3')",0.006761651774933591
0,2,"(5, '4')",0.0016904129437333977
0,2,"(1, '6')",0.0007244626901714562
0,2,"(2, '5')",0.0009659502535619416
0,2,"(3, '6')",0.0009659502535619416
0,2,"(4, '7')",0.0009659502535619416
0,2,"(7, '9')",0.0004829751267809708
0,2,"(6, '7')",0.001207437816952427
0,2,"(0, '8')",0.0009659502535619416
0,2,"(7, '6')",0.001207437816952427
0,2,"(4, '10')",0.0004829751267809708
0,2,"(6, '6')",0.0004829751267809708
0,2,"(1, '9')",0.0004829751267809708
0,2,"(3, '5')",0.0009659502535619416
0,2,"(5, '6')",0.0009659502535619416
0,2,"(5, '7')",0.0004829751267809708
0,2,"(4, '8')",0.0007244626901714562
0,2,"(8, '3')",0.0007244626901714562
0,2,"(6, '5')",0.0009659502535619416
0,2,"(5, '10')",0.001207437816952427
0,2,"(0, '7')",0.0004829751267809708
0,2,"(7, '5')",0.0004829751267809708
0,2,"(2, '6')",0.0009659502535619416
0,2,"(8, '8')",0.0004829751267809708
0,2,"(3, '9')",0.0004829751267809708
0,2,"(4, '6')",0.0004829751267809708
0,2,"(7, '8')",0.0009659502535619416
0,4,"(0, '10')",0.027705627705627706
0,4,"(1, '10')",0.026406926406926406
0,4,"(2, '10')",0.023376623376623377
0,4,"(3, '4')",0.012554112554112554
0,4,"(4, '8')",0.006926406926406926
0,4,"(5, '1')",0.006060606060606061
0,4,"(6, '8')",0.011688311688311689
0,4,"(7, '10')",0.024242424242424242
0,4,"(8, '1')",0.05411255411255411
0,4,"(9, '4')",0.09653679653679653
